Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Chrome, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Edge, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Firefox, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Phone, Viewport: 500x700, Device: Phone, Status: Pass
Task: 1, Test Name: Account Icon is Visible, Locator CssSelector: .dropdown.dropdown-access, Browser: Phone, Viewport: 500x700, Device: Phone, Status: Pass
Task: 1, Test Name: Bag Count is NOT Visible, Locator Id: STRONG____50, Browser: Phone, Viewport: 500x700, Device: Phone, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Chrome, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Edge, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Firefox, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Firefox, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Count is Visible, Locator Id: STRONG____50, Browser: Phone, Viewport: 500x700, Device: Phone, Status: Pass
Task: 1, Test Name: Bag Icon is Visible, Locator CssSelector: .dropdown.dropdown-cart, Browser: Chrome, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Bag Icon is Visible, Locator CssSelector: .dropdown.dropdown-cart, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Icon is Visible, Locator CssSelector: .dropdown.dropdown-cart, Browser: Chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Bag Icon is Visible, Locator CssSelector: .dropdown.dropdown-cart, Browser: Edge, Viewport: 1200x700, Device: Desktop, Status: Pass
Task: 1, Test Name: Bag Icon is Visible, Locator CssSelector: .dropdown.dropdown-cart, Browser: Edge, Viewport: 768x700, Device: Tablet, Status: Pass
